,Source,Destination,Protocol,Length,Info
103,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=4966 Ack=387 Win=65535 Len=0
104,10.0.2.15,142.250.189.195,TLSv1.2,92,Application Data
105,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=4966 Ack=626 Win=65535 Len=0
106,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=4966 Ack=664 Win=65535 Len=0
107,10.0.2.15,142.250.189.195,TLSv1.2,1555,Application Data
108,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=4966 Ack=2124 Win=65535 Len=0
109,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=4966 Ack=2165 Win=65535 Len=0
110,142.250.189.195,10.0.2.15,TLSv1.2,92,Application Data
111,142.250.189.195,10.0.2.15,TLSv1.2,964,"Application Data, Application Data, Application Data"
112,10.0.2.15,142.250.189.195,TCP,54,53729  >  443 [ACK] Seq=2165 Ack=5914 Win=62928 Len=0
113,10.0.2.15,142.250.189.195,TLSv1.2,100,Application Data
114,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=5914 Ack=2211 Win=65535 Len=0
115,10.0.2.15,142.250.189.195,TCP,54,"53729  >  443 [FIN, ACK] Seq=2211 Ack=5914 Win=62928 Len=0"
116,142.250.189.195,10.0.2.15,TCP,60,443  >  53729 [ACK] Seq=5914 Ack=2212 Win=65535 Len=0
117,142.250.189.195,10.0.2.15,TCP,60,"443  >  53729 [FIN, ACK] Seq=5914 Ack=2212 Win=65535 Len=0"
118,10.0.2.15,142.250.189.195,TCP,54,53729  >  443 [ACK] Seq=2212 Ack=5915 Win=62928 Len=0
119,10.0.2.15,169.237.250.250,DNS,95,Standard query 0x13c2 A geover.prod.do.dsp.mp.microsoft.com
120,169.237.250.250,10.0.2.15,DNS,506,Standard query response 0x13c2 A geover.prod.do.dsp.mp.microsoft.com CNAME geover.prod.do.dsp.mp.microsoft.com.edgekey.net CNAME e10370.d.akamaiedge.net A 184.28.149.182 NS n7d.akamaiedge.net NS n5d.akamaiedge.net NS n2d.akamaiedge.net NS n1d.akamaiedge.net NS n4d.akamaiedge.net NS n6d.akamaiedge.net NS n3d.akamaiedge.net NS n0d.akamaiedge.net A 23.203.167.105 A 23.203.167.92 A 23.213.244.102 A 88.221.81.192 A 23.52.12.74 A 23.213.244.102 A 23.213.244.86 A 184.51.100.14 AAAA 2600:1480:e800::c0
121,10.0.2.15,184.28.149.182,TCP,66,53730  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
122,184.28.149.182,10.0.2.15,TCP,60,"443  >  53730 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
123,10.0.2.15,184.28.149.182,TCP,54,53730  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
124,10.0.2.15,184.28.149.182,TLSv1.2,274,Client Hello (SNI=geover.prod.do.dsp.mp.microsoft.com)
125,184.28.149.182,10.0.2.15,TCP,60,443  >  53730 [ACK] Seq=1 Ack=221 Win=65535 Len=0
126,184.28.149.182,10.0.2.15,TLSv1.2,1514,Server Hello
127,184.28.149.182,10.0.2.15,TCP,1514,443  >  53730 [ACK] Seq=1461 Ack=221 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
128,10.0.2.15,184.28.149.182,TCP,54,53730  >  443 [ACK] Seq=221 Ack=2921 Win=64240 Len=0
129,184.28.149.182,10.0.2.15,TLSv1.2,1230,Certificate
130,184.28.149.182,10.0.2.15,TCP,1440,"443  >  53730 [PSH, ACK] Seq=4097 Ack=221 Win=65535 Len=1386 [TCP segment of a reassembled PDU]"
131,10.0.2.15,184.28.149.182,TCP,54,53730  >  443 [ACK] Seq=221 Ack=5483 Win=64240 Len=0
132,184.28.149.182,10.0.2.15,TLSv1.2,497,"Certificate Status, Server Key Exchange, Server Hello Done"
133,10.0.2.15,184.28.149.182,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
134,184.28.149.182,10.0.2.15,TCP,60,443  >  53730 [ACK] Seq=5926 Ack=347 Win=65535 Len=0
135,184.28.149.182,10.0.2.15,TLSv1.2,344,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
136,10.0.2.15,184.28.149.182,TLSv1.2,382,Application Data
137,184.28.149.182,10.0.2.15,TCP,60,443  >  53730 [ACK] Seq=6216 Ack=675 Win=65535 Len=0
138,184.28.149.182,10.0.2.15,TLSv1.2,471,Application Data
139,10.0.2.15,184.28.149.182,TCP,54,53730  >  443 [ACK] Seq=675 Ack=6633 Win=63090 Len=0
140,10.0.2.15,169.237.250.250,DNS,94,Standard query 0x9967 A cp501.prod.do.dsp.mp.microsoft.com
141,169.237.250.250,10.0.2.15,DNS,504,Standard query response 0x9967 A cp501.prod.do.dsp.mp.microsoft.com CNAME cp501.prod.do.dsp.mp.microsoft.com.edgekey.net CNAME e10370.d.akamaiedge.net A 184.28.149.182 NS n3d.akamaiedge.net NS n1d.akamaiedge.net NS n4d.akamaiedge.net NS n6d.akamaiedge.net NS n2d.akamaiedge.net NS n5d.akamaiedge.net NS n7d.akamaiedge.net NS n0d.akamaiedge.net A 23.203.167.105 A 23.203.167.92 A 23.213.244.102 A 88.221.81.192 A 23.52.12.74 A 23.213.244.102 A 23.213.244.86 A 184.51.100.14 AAAA 2600:1480:e800::c0
142,10.0.2.15,184.28.149.182,TCP,66,53731  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
143,184.28.149.182,10.0.2.15,TCP,60,"443  >  53731 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
144,10.0.2.15,184.28.149.182,TCP,54,53731  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
145,10.0.2.15,184.28.149.182,TLSv1.2,273,Client Hello (SNI=cp501.prod.do.dsp.mp.microsoft.com)
146,184.28.149.182,10.0.2.15,TCP,60,443  >  53731 [ACK] Seq=1 Ack=220 Win=65535 Len=0
147,184.28.149.182,10.0.2.15,TLSv1.2,1514,Server Hello
148,184.28.149.182,10.0.2.15,TCP,1366,"443  >  53731 [PSH, ACK] Seq=1461 Ack=220 Win=65535 Len=1312 [TCP segment of a reassembled PDU]"
149,10.0.2.15,184.28.149.182,TCP,54,53731  >  443 [ACK] Seq=220 Ack=2773 Win=64240 Len=0
150,184.28.149.182,10.0.2.15,TLSv1.2,1514,Certificate
151,184.28.149.182,10.0.2.15,TCP,1304,"443  >  53731 [PSH, ACK] Seq=4233 Ack=220 Win=65535 Len=1250 [TCP segment of a reassembled PDU]"
152,10.0.2.15,184.28.149.182,TCP,54,53731  >  443 [ACK] Seq=220 Ack=5483 Win=64240 Len=0
153,184.28.149.182,10.0.2.15,TLSv1.2,497,"Certificate Status, Server Key Exchange, Server Hello Done"
154,10.0.2.15,184.28.149.182,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
155,184.28.149.182,10.0.2.15,TCP,60,443  >  53731 [ACK] Seq=5926 Ack=346 Win=65535 Len=0
156,184.28.149.182,10.0.2.15,TLSv1.2,344,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
157,10.0.2.15,184.28.149.182,TLSv1.2,597,Application Data
158,184.28.149.182,10.0.2.15,TCP,60,443  >  53731 [ACK] Seq=6216 Ack=889 Win=65535 Len=0
159,184.28.149.182,10.0.2.15,TLSv1.2,848,Application Data
160,10.0.2.15,151.139.71.24,TCP,66,53732  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
